model,artifact,dataset,variable,metric,depth_m,value
CCM,model_epoch_996.pth,held_out,temperature,R2,10,0.9349160818930146
CCM,model_epoch_996.pth,held_out,temperature,R2,20,0.8544086906564823
CCM,model_epoch_996.pth,held_out,temperature,R2,30,0.8226159885623292
CCM,model_epoch_996.pth,held_out,temperature,R2,50,0.7928473644412933
CCM,model_epoch_996.pth,held_out,temperature,R2,75,0.8009802263891198
CCM,model_epoch_996.pth,held_out,temperature,R2,100,0.7777682102666752
CCM,model_epoch_996.pth,held_out,temperature,R2,125,0.7479168557318873
CCM,model_epoch_996.pth,held_out,temperature,R2,150,0.7274317773977079
CCM,model_epoch_996.pth,held_out,temperature,R2,200,0.6634934312163503
CCM,model_epoch_996.pth,held_out,temperature,R2,250,0.5931213830504052
CCM,model_epoch_996.pth,held_out,temperature,R2,300,0.5555941374429034
CCM,model_epoch_996.pth,held_out,temperature,R2,400,0.47359682160265404
CCM,model_epoch_996.pth,held_out,temperature,R2,500,0.4705064035002048
CCM,model_epoch_996.pth,held_out,temperature,RMSE,10,1.1625655552249796
CCM,model_epoch_996.pth,held_out,temperature,RMSE,20,1.5274780957910858
CCM,model_epoch_996.pth,held_out,temperature,RMSE,30,1.6296973204220533
CCM,model_epoch_996.pth,held_out,temperature,RMSE,50,1.896755932970664
CCM,model_epoch_996.pth,held_out,temperature,RMSE,75,2.0280963469769744
CCM,model_epoch_996.pth,held_out,temperature,RMSE,100,2.15020029315171
CCM,model_epoch_996.pth,held_out,temperature,RMSE,125,2.044685124151204
CCM,model_epoch_996.pth,held_out,temperature,RMSE,150,1.6137051080455167
CCM,model_epoch_996.pth,held_out,temperature,RMSE,200,0.9729486876823935
CCM,model_epoch_996.pth,held_out,temperature,RMSE,250,0.4437653891778616
CCM,model_epoch_996.pth,held_out,temperature,RMSE,300,0.1895209481865769
CCM,model_epoch_996.pth,held_out,temperature,RMSE,400,0.09273847371463162
CCM,model_epoch_996.pth,held_out,temperature,RMSE,500,0.07906696887342304
CCM,model_epoch_996.pth,held_out,temperature,MAE,10,0.748902638140996
CCM,model_epoch_996.pth,held_out,temperature,MAE,20,1.0491127873095414
CCM,model_epoch_996.pth,held_out,temperature,MAE,30,1.152000649818634
CCM,model_epoch_996.pth,held_out,temperature,MAE,50,1.3885175886535643
CCM,model_epoch_996.pth,held_out,temperature,MAE,75,1.503402033904465
CCM,model_epoch_996.pth,held_out,temperature,MAE,100,1.6024017311114487
CCM,model_epoch_996.pth,held_out,temperature,MAE,125,1.505954109552579
CCM,model_epoch_996.pth,held_out,temperature,MAE,150,1.1516422896017384
CCM,model_epoch_996.pth,held_out,temperature,MAE,200,0.6138657521955746
CCM,model_epoch_996.pth,held_out,temperature,MAE,250,0.2729297011818628
CCM,model_epoch_996.pth,held_out,temperature,MAE,300,0.1264335715861413
CCM,model_epoch_996.pth,held_out,temperature,MAE,400,0.07222546532516082
CCM,model_epoch_996.pth,held_out,temperature,MAE,500,0.062137009613989935
CCM,model_epoch_996.pth,held_out,temperature,NRMSE,10,4.926125234004151
CCM,model_epoch_996.pth,held_out,temperature,NRMSE,20,7.1712586656858495
CCM,model_epoch_996.pth,held_out,temperature,NRMSE,30,7.9111520408837555
CCM,model_epoch_996.pth,held_out,temperature,NRMSE,50,9.032171109384114
CCM,model_epoch_996.pth,held_out,temperature,NRMSE,75,10.090031576999873
CCM,model_epoch_996.pth,held_out,temperature,NRMSE,100,12.217047120180169
CCM,model_epoch_996.pth,held_out,temperature,NRMSE,125,12.39203105546184
CCM,model_epoch_996.pth,held_out,temperature,NRMSE,150,12.6070711566056
CCM,model_epoch_996.pth,held_out,temperature,NRMSE,200,11.865227898565776
CCM,model_epoch_996.pth,held_out,temperature,NRMSE,250,8.372931871280407
CCM,model_epoch_996.pth,held_out,temperature,NRMSE,300,7.580837927463076
CCM,model_epoch_996.pth,held_out,temperature,NRMSE,400,13.248353387804517
CCM,model_epoch_996.pth,held_out,temperature,NRMSE,500,15.81339377468461
CCM,model_epoch_996.pth,held_out,salinity,R2,10,0.9119018472927617
CCM,model_epoch_996.pth,held_out,salinity,R2,20,0.815865849745947
CCM,model_epoch_996.pth,held_out,salinity,R2,30,0.7283743063011905
CCM,model_epoch_996.pth,held_out,salinity,R2,50,0.6091000728548965
CCM,model_epoch_996.pth,held_out,salinity,R2,75,0.6101967546664426
CCM,model_epoch_996.pth,held_out,salinity,R2,100,0.5805993041561222
CCM,model_epoch_996.pth,held_out,salinity,R2,125,0.5666317040604656
CCM,model_epoch_996.pth,held_out,salinity,R2,150,0.5182770322195336
CCM,model_epoch_996.pth,held_out,salinity,R2,200,0.23519272106790556
CCM,model_epoch_996.pth,held_out,salinity,R2,250,0.2625432030454292
CCM,model_epoch_996.pth,held_out,salinity,R2,300,0.3038116560131867
CCM,model_epoch_996.pth,held_out,salinity,R2,400,0.24033540848353674
CCM,model_epoch_996.pth,held_out,salinity,R2,500,0.22907902688752702
CCM,model_epoch_996.pth,held_out,salinity,RMSE,10,0.1668705680788256
CCM,model_epoch_996.pth,held_out,salinity,RMSE,20,0.18814095515504947
CCM,model_epoch_996.pth,held_out,salinity,RMSE,30,0.17313356498066013
CCM,model_epoch_996.pth,held_out,salinity,RMSE,50,0.12886886141407405
CCM,model_epoch_996.pth,held_out,salinity,RMSE,75,0.1072293298985222
CCM,model_epoch_996.pth,held_out,salinity,RMSE,100,0.1022569679130411
CCM,model_epoch_996.pth,held_out,salinity,RMSE,125,0.08505481706825874
CCM,model_epoch_996.pth,held_out,salinity,RMSE,150,0.0612856147285837
CCM,model_epoch_996.pth,held_out,salinity,RMSE,200,0.03449903206726156
CCM,model_epoch_996.pth,held_out,salinity,RMSE,250,0.021015526491047647
CCM,model_epoch_996.pth,held_out,salinity,RMSE,300,0.01646065807080322
CCM,model_epoch_996.pth,held_out,salinity,RMSE,400,0.013940485765782724
CCM,model_epoch_996.pth,held_out,salinity,RMSE,500,0.014211393906336701
CCM,model_epoch_996.pth,held_out,salinity,MAE,10,0.10547228799630383
CCM,model_epoch_996.pth,held_out,salinity,MAE,20,0.11983185356368518
CCM,model_epoch_996.pth,held_out,salinity,MAE,30,0.11801300297824172
CCM,model_epoch_996.pth,held_out,salinity,MAE,50,0.09524224130087713
CCM,model_epoch_996.pth,held_out,salinity,MAE,75,0.08208754442356252
CCM,model_epoch_996.pth,held_out,salinity,MAE,100,0.07538276254879878
CCM,model_epoch_996.pth,held_out,salinity,MAE,125,0.0610447785972248
CCM,model_epoch_996.pth,held_out,salinity,MAE,150,0.044816882737016936
CCM,model_epoch_996.pth,held_out,salinity,MAE,200,0.02504948802539748
CCM,model_epoch_996.pth,held_out,salinity,MAE,250,0.01618810847277596
CCM,model_epoch_996.pth,held_out,salinity,MAE,300,0.012846740722655922
CCM,model_epoch_996.pth,held_out,salinity,MAE,400,0.011136533800649969
CCM,model_epoch_996.pth,held_out,salinity,MAE,500,0.010948020271633541
CCM,model_epoch_996.pth,held_out,salinity,NRMSE,10,6.297002569012291
CCM,model_epoch_996.pth,held_out,salinity,NRMSE,20,7.74242613806788
CCM,model_epoch_996.pth,held_out,salinity,NRMSE,30,9.726604774194383
CCM,model_epoch_996.pth,held_out,salinity,NRMSE,50,10.739071784506208
CCM,model_epoch_996.pth,held_out,salinity,NRMSE,75,11.783442845991402
CCM,model_epoch_996.pth,held_out,salinity,NRMSE,100,12.624317026301334
CCM,model_epoch_996.pth,held_out,salinity,NRMSE,125,12.32678508235638
CCM,model_epoch_996.pth,held_out,salinity,NRMSE,150,11.563323533695014
CCM,model_epoch_996.pth,held_out,salinity,NRMSE,200,11.128720021697196
CCM,model_epoch_996.pth,held_out,salinity,NRMSE,250,11.060803416340999
CCM,model_epoch_996.pth,held_out,salinity,NRMSE,300,9.144810039335137
CCM,model_epoch_996.pth,held_out,salinity,NRMSE,400,15.489428628646884
CCM,model_epoch_996.pth,held_out,salinity,NRMSE,500,12.919449005760706
CCM,model_epoch_996.pth,independent,temperature,R2,10,0.8476438234354899
CCM,model_epoch_996.pth,independent,temperature,R2,20,0.7451649358183708
CCM,model_epoch_996.pth,independent,temperature,R2,30,0.6720011805162565
CCM,model_epoch_996.pth,independent,temperature,R2,50,0.5045228443602098
CCM,model_epoch_996.pth,independent,temperature,R2,75,0.47421130140805523
CCM,model_epoch_996.pth,independent,temperature,R2,100,0.388229032727027
CCM,model_epoch_996.pth,independent,temperature,R2,125,0.40168992864773057
CCM,model_epoch_996.pth,independent,temperature,R2,150,0.31181585893309305
CCM,model_epoch_996.pth,independent,temperature,R2,200,0.2517299663371261
CCM,model_epoch_996.pth,independent,temperature,R2,250,0.21807956630378356
CCM,model_epoch_996.pth,independent,temperature,R2,300,0.2332699853496425
CCM,model_epoch_996.pth,independent,temperature,R2,400,0.2017098549880263
CCM,model_epoch_996.pth,independent,temperature,R2,500,0.07364825960005739
CCM,model_epoch_996.pth,independent,temperature,RMSE,10,2.0897379146198096
CCM,model_epoch_996.pth,independent,temperature,RMSE,20,2.3724802446013946
CCM,model_epoch_996.pth,independent,temperature,RMSE,30,2.2937213125776488
CCM,model_epoch_996.pth,independent,temperature,RMSE,50,2.5918666060891202
CCM,model_epoch_996.pth,independent,temperature,RMSE,75,2.727399704886317
CCM,model_epoch_996.pth,independent,temperature,RMSE,100,2.912980637589521
CCM,model_epoch_996.pth,independent,temperature,RMSE,125,2.6612850115650972
CCM,model_epoch_996.pth,independent,temperature,RMSE,150,2.336044417245691
CCM,model_epoch_996.pth,independent,temperature,RMSE,200,1.360570089889328
CCM,model_epoch_996.pth,independent,temperature,RMSE,250,0.5621621078627412
CCM,model_epoch_996.pth,independent,temperature,RMSE,300,0.23206092308567927
CCM,model_epoch_996.pth,independent,temperature,RMSE,400,0.09851360256874434
CCM,model_epoch_996.pth,independent,temperature,RMSE,500,0.0814782681527242
CCM,model_epoch_996.pth,independent,temperature,MAE,10,1.6032632902971777
CCM,model_epoch_996.pth,independent,temperature,MAE,20,1.7944780657668906
